species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.1,18.7,181,3750,Male
Adelie,Torgersen,39.5,17.4,186,3800,Female
Adelie,Torgersen,40.3,18.0,195,3250,Female
Adelie,Torgersen,36.7,19.3,193,3450,Female
Adelie,Torgersen,39.3,20.6,190,3650,Male
Adelie,Torgersen,38.9,17.8,181,3625,Female
Adelie,Torgersen,39.2,19.6,195,4675,Male
Adelie,Torgersen,41.1,17.6,182,3200,Female
Adelie,Torgersen,38.6,21.2,191,3800,Male
Adelie,Torgersen,34.6,21.1,198,4400,Male
Adelie,Torgersen,36.6,17.8,185,3700,Female
Adelie,Torgersen,38.7,19.0,195,3450,Female
Adelie,Torgersen,42.5,20.7,197,4500,Male
Adelie,Torgersen,34.4,18.4,184,3325,Female
Adelie,Torgersen,46.0,21.5,194,4200,Male
Adelie,Torgersen,37.8,18.3,174,3400,Female
Adelie,Torgersen,37.7,18.7,180,3600,Male
Adelie,Torgersen,35.9,19.2,189,3800,Female
Adelie,Torgersen,38.2,18.1,185,3950,Male
Adelie,Torgersen,38.8,17.2,180,3800,Female
Gentoo,Biscoe,46.1,13.2,211,4500,Female
Gentoo,Biscoe,50.0,16.3,230,5700,Male
Gentoo,Biscoe,48.7,14.1,210,4450,Female
Gentoo,Biscoe,50.0,15.2,218,5700,Male
Gentoo,Biscoe,47.6,14.5,215,5400,Male
Gentoo,Biscoe,46.5,13.5,210,4550,Female
Gentoo,Biscoe,45.4,14.6,211,4800,Female
Gentoo,Biscoe,46.7,15.3,219,5200,Male
Gentoo,Biscoe,43.3,13.4,209,4400,Female
Gentoo,Biscoe,46.8,15.4,215,5150,Male
Gentoo,Biscoe,40.9,13.7,214,4650,Female
Gentoo,Biscoe,49.0,16.1,216,5550,Male
Gentoo,Biscoe,45.5,13.7,214,4650,Female
Gentoo,Biscoe,48.4,14.6,213,5850,Male
Gentoo,Biscoe,45.8,14.6,219,4200,Female
Gentoo,Biscoe,49.3,15.7,217,5850,Male
Gentoo,Biscoe,42.0,13.5,210,4150,Female
Gentoo,Biscoe,49.2,15.2,221,6300,Male
Gentoo,Biscoe,46.2,14.5,209,4800,Female
Gentoo,Biscoe,48.7,15.1,222,5350,Male
Chinstrap,Dream,46.5,17.9,192,3500,Female
Chinstrap,Dream,50.0,19.5,196,3900,Male
Chinstrap,Dream,51.3,19.2,193,3650,Male
Chinstrap,Dream,45.4,18.7,188,3525,Female
Chinstrap,Dream,52.7,19.8,197,3725,Male
Chinstrap,Dream,45.2,17.8,198,3950,Female
Chinstrap,Dream,46.1,18.2,178,3250,Female
Chinstrap,Dream,51.3,18.2,197,3750,Male
Chinstrap,Dream,46.0,18.9,195,4150,Female
Chinstrap,Dream,51.7,18.8,197,3775,Male
Chinstrap,Dream,47.0,17.3,185,3700,Female
Chinstrap,Dream,52.0,19.0,197,4150,Male
